7733144,430921,1
5295621,115106,1
7245204,61864,1
7245280,400022,1
6152736,87366,1
6928963,4466,1
7161840,385801,1
7542711,42866,1
4582473,121962,1
7385903,411991,1
6181012,5562,1
7529195,402554,1
7232763,79221,1
7407288,142517,1
7432832,128922,1
7256089,194672,1
6832794,91520,1
6600223,262275,1
5352106,82565,1
6583373,256949,1
4098616,249383,1
4493435,180099,1
6705862,135,1
7318433,235326,1
7371231,404834,1
7092328,121781,1
6749467,96641,1
6201045,392609,1
7517921,210831,1
8176427,238855,1
7795315,96408,1
6494382,380286,1
5140938,318039,1
8188210,171535,1
8075812,380797,1
7648584,214489,1
7578556,264400,1
7009255,77957,1
5091013,383254,1
5679183,294689,1
6489595,364569,1
7395986,413864,1
5008098,70275,1
7976790,62092,1
8223008,130711,1
6109289,265677,1
7967078,185509,1
7733947,47080,1
5452889,370910,1
5162977,220828,1
6220884,289509,1
7584383,371847,1
7114793,230178,1
8133051,24863,1
5324368,279458,1
7248192,426238,1
6890932,374235,1
7306077,76896,1
7838855,188924,1
5102229,417470,1
8080924,82321,1
6064854,41226,1
7995761,54847,1
6958289,375672,1
7577396,405282,1
7880668,289364,1
6422903,353624,1
6123079,16601,1
7794184,419069,1
7977489,18482,1
7166815,161650,1
7503858,292315,1
7572865,102805,1
7465529,42866,1
7633277,133861,1
6408961,271435,1
7876100,118979,1
7793365,72067,1
7859556,296222,1
7277843,281691,1
8016200,233477,1
5621635,94159,1
8078487,330585,1
4537830,28189,1
7747425,243860,1
7603204,112312,1
7048807,224737,1
6851171,259759,1
8027282,120203,1
6666152,364193,1
7122600,400089,1
5064440,21031,1
7719794,116012,1
7701938,306358,1
5248952,79560,1
6156671,323034,1
6367273,376440,1
5442981,143480,1
7311645,410073,1
7574951,36449,1
7028664,373474,1
7475999,143351,1
4646991,401768,1
7721852,361553,1
5282450,37030,1
4772727,395067,1
8098636,154988,1
7241749,220878,1
5105803,428626,1
6507284,272732,1
4284241,99119,1
7402558,214469,1
7023242,184543,1
5463873,14281,1
7870351,164206,1
8169267,341965,1
6321880,38362,1
7311452,274427,1
7412754,357279,1
6602710,200958,1
5985100,400998,1
6828798,433037,1
7639995,153799,1
7196289,293177,1
4436945,197548,1
7856872,246977,1
7321949,284003,1
6031409,372117,1
5103264,96810,1
7023173,316223,1
8014258,109435,1
7354754,222805,1
6511755,317920,1
4857218,327875,1
6323694,124375,1
6259680,282169,1
4776007,384838,1
6415330,279126,1
7438584,365823,1
4975662,144660,1
6541544,195762,1
6851893,214875,1
7678820,162550,1
7321084,214822,1
6934226,257268,1
6075902,147817,1
7200615,432951,1
8266552,319040,1
8088760,4749,1
7913689,398795,1
8018055,398519,1
7293901,399069,1
8024685,436777,1
6795148,252047,1
7445140,51580,1
6059518,283456,1
7963255,280684,1
7576018,419300,1
8004064,358223,1
5712375,52347,1
6588690,76907,1
6924274,367818,1
7782719,310036,1
7668165,290692,1
7808199,181656,1
6520978,320182,1
7540387,157185,1
7714969,48731,1
6368979,141891,1
7852457,441505,1
7669468,40390,1
7636454,377176,1
7541945,384833,1
4054844,424721,1
5743315,214117,1
6904362,241291,1
7692469,238723,1
7664411,411194,1
7468814,199470,1
7320287,284758,1
5010087,298240,1
7276015,117716,1
7211212,243928,1
4964846,157615,1
7867561,202168,1
8029205,132638,1
7914752,25649,1
6484300,367361,1
5092836,199280,1
7675336,59701,1
7624412,7202,1
