B00I8GJLOO,A13J2PGKNMJG1K,5.0
B01G4VMGOQ,A3TJYI860BNLXM,4.0
B000R2Z5VU,A3RPHJ69M2FU6F,5.0
B00VHNVIUK,A16H9NIC7AQP9D,5.0
B0014CSIG6,A20OWDK0PLAOWH,5.0
B015Z5BD32,A2CALNHLUBZTC8,5.0
B00I9JK8GU,A3VPY6TNRYL9D5,2.0
B0111K55KM,AYWVWWZ85D93D,5.0
B00NVK245A,A2GH8S3GBXCORD,3.0
B0014D5NVS,A4U9P6LM2KNQ5,5.0
B00WFVWPH8,AQN3HJJ7ACL6I,3.0
B00JGZCLIY,A31Z48BHHUTB0P,5.0
B01BGDZU0E,A1QVK6G442KJGL,5.0
B01DM5FAJA,A3TSDI2Y4CPZ5K,5.0
B014UHFCM4,A261XM7KTSDDT1,5.0
B0160Q4SDC,A2LC9CSGCKRW5G,5.0
B010DS3O06,AK7R0FNHI63PS,5.0
B010O74RFC,A8I6H0K9Y5EEC,5.0
B00YMSORX2,AMMNGUJK4HQJ5,5.0
B000SRK8KC,A12S8A6OFHLNRL,5.0
B00UHCLUE6,A3FS2KNCKXYZYN,5.0
B000P6L52Q,A2CAZXLPEI3UZY,5.0
B00UZBFPEA,A2FTDWMOP8V6AV,4.0
B00R1H0AYQ,A2W1YM1T54N0SD,5.0
B011B6O10Q,AID37CZ8QVCP0,5.0
B012F2SV6K,A1SCKTHDWAUBZA,5.0
B00W4H8EJG,A14M8WQWRN1ITF,4.0
B015FDIPSU,AEZRIMZUBKEPA,5.0
B00UB6UP5S,A1NP4UMO4NH6V3,4.0
B01HHVVLGQ,A1G91EWH4WCOHS,5.0
B0014CZUZ8,A2MMCH8JLHFX8Y,5.0
B00QJGS0OM,A3W5A9X3HHACQT,5.0
B000VCFAXO,A3NYQQ9JOLVPY0,5.0
B01FRJ0XKA,AC6LV5D2RKTIR,5.0
B01FRJ157U,A23V6XBDK3VU9F,5.0
B00YHDRGVC,A19POR5QXE6N8X,5.0
B000QJ8SM2,A1NNL7KKC04WF5,2.0
B000WHXMYW,A2Z1EKBV1FZ74P,5.0
B010DS8X5W,A2QKFSWQCB0M1G,5.0
B00UBJQHMU,ASPL6U4HAODI7,4.0
B010AIDKGC,A3QA0JMQUYA57S,5.0
B00V1O9X1G,A1HY0LHIXTZ9XO,5.0
B0014CSIG6,A33XWEF58NP6UP,5.0
B002DO19L0,A2ZVETF78CVNO2,5.0
B00IAE81NG,A1YSHPPZDWIGT1,5.0
B00SX1OY00,A1QB1ZSGXM4CXJ,3.0
B00O33FY4W,A2AOG6C4CT5I38,5.0
B0014D3MH0,ALRNOXWPLHR3E,5.0
B019DKUTOE,AB3NZUVSLXNYJ,5.0
B01FUGV67O,A3022YWF8524GY,3.0
B0182G7L1O,A34DV868RH9COQ,5.0
B00I9KR4U2,A3D1ZSDWW9DGO9,5.0
B00X3G7RYA,AJ0XX6HTHKCZY,5.0
B016F7H27K,A16QCOFOP5DW4I,5.0
B00UGMWZ5K,AZ9X0WHC5BU98,4.0
B00PC5CRGI,ANVDFG2B2BQGF,5.0
B00NU608MQ,A1NGGS7HVVWHUU,1.0
B01D4GA0QA,A1445NW19LN49U,5.0
B00J0KTZ0W,A3HUK2D3SNXHMR,5.0
B00IB18S2C,ARW3JCXGPLPT8,5.0
B00MIJW4TQ,A56N8QVJAITOJ,5.0
B00YPBPO0Q,A2JZ1NSS7IKRGL,5.0
B00I8G6NCW,A3HX7ZR5R4548H,5.0
B01H6JE562,A13SKO9WKTSFHF,4.0
B01AULJUAE,A2IH2H5NLHA6DD,5.0
B00V1OKBYE,A3IJN3ND4273DR,5.0
B00J4YY6OO,A1ZZB3LMESS0F0,5.0
B00X80345W,A22ECE4DK6ZKW7,5.0
B0062Q4K1Q,A1K27LCXUCFB4Y,5.0
B00UL3ALBE,A3A0TKO5ZRG1D8,4.0
B017WGILT6,AJU297082AXQB,5.0
B00099XPD6,A1GZMCTK53FAJN,5.0
B010LEO2EY,AHDLVALNESEOQ,5.0
B00ZHH0WVI,ACSLW46DEIWHD,5.0
B00V1PBSLI,A2K4HUH6PHYQHB,3.0
B011BJDHXA,A13DWIVG7N984J,5.0
B00HATA8UG,AJSHH1T5Y7QIY,4.0
B00UHCLUE6,A10MBS939STL5R,5.0
B000S5S1AI,AWR7DOEPZBWHC,5.0
B015O4YI40,ACAYQFO5XUHQ0,5.0
B014ULZN10,A10MBS939STL5R,5.0
B000VDQZFK,A2XX2A4OJCDNLZ,5.0
B00TDP5KTE,A2DZA2UTCL0VYX,5.0
B00MTSGYG0,A39AHD51V9QJ5X,5.0
B01DW33XBE,A1HQE2UKIMTX8Y,5.0
B00O7YWNS2,A2AMZTSSPXZ5T5,5.0
B00UB6UL3E,A37YLFMWPJX5UZ,5.0
